name,beers_count,brewery_id,latitude,longitude
Brasserie-Brouwerij Cantillon,10.0,202,50.84159851074219,4.3354997634887695
Brasseries Kronenbourg,1.0,203,48.59299850463867,7.714900016784668
Brauerei & Gasthof zur Krone,5.0,204,47.67150115966797,9.588800430297852
Brauerei Aying Franz Inselkammer KG,6.0,205,47.97060012817383,11.780799865722654
Brauerei Beck,7.0,206,53.07870101928711,8.79010009765625
Brauerei C. & A. Veltins GmbH & Co.,1.0,207,51.30550003051758,8.125900268554688
Brauerei Fssla,4.0,208,49.89419937133789,10.885499954223633
Brauerei Gbr. Maisel KG,1.0,209,49.94770050048828,11.565899848937988
Brauerei Grieskirchen AG,1.0,210,48.23509979248047,13.82919979095459
Brauerei Gss,1.0,211,47.36249923706055,15.09469985961914
Brauerei Herrenhausen,2.0,212,52.39350128173828,9.681400299072266
Brauerei Hrle,1.0,213,47.82429885864258,10.023900032043457
Brauerei Hrlimann,1.0,214,47.36420059204102,8.524499893188478
Brauerei im Fchschen,1.0,215,,
Brauerei Leibinger,3.0,216,47.78179931640625,9.621500015258787
Brauerei Locher AG,1.0,217,47.3301010131836,9.41349983215332
Brauerei Reissdorf,1.0,218,50.87530136108398,6.994400024414063
Brauerei Schtzengarten,1.0,219,47.43009948730469,9.379400253295898
Brauerei Schumacher,1.0,220,51.22159957885742,6.785299777984619
Brauerei Schwelm,2.0,221,51.28469848632813,7.293600082397461
Brauerei Spezial,4.0,222,49.89419937133789,10.885499954223633
Brauerei und Altbierkche Pinkus Mller,4.0,223,51.9656982421875,7.621399879455566
Brauerei Wieselburg,,224,48.13059997558594,15.13860034942627
Brauereigasthof Adler,3.0,225,48.07780075073242,9.3996000289917
Brauhaus am Waldschl̦sschen,1.0,226,,
Brauhaus Brew Hall,2.0,227,44.410499572753906,-95.41069793701172
Brauhaus Faust,1.0,228,49.69929885864258,9.249199867248537
Brauhaus Johann Albrecht - Dsseldorf,2.0,229,51.24039840698242,6.751599788665772
Brauhaus Johann Albrecht - Konstanz,5.0,230,47.66510009765625,9.175000190734863
Brauhaus Onuma,1.0,231,43.06460189819336,141.3470001220703
Brauhaus Sion,1.0,232,50.93939971923828,6.959400177001952
Brauhaus Sternen,5.0,233,47.55849838256836,8.90060043334961
Brausttte der Steirerbrau Aktiengesellschaft,1.0,234,47.06790161132813,15.441699981689453
Breckenridge BBQ of Omaha,6.0,235,41.25400161743164,-95.99929809570312
Breckenridge Brewery,16.0,236,39.72359848022461,-105.0009994506836
Brennerei-Distillerie Radermacher,2.0,238,50.67179870605469,6.122000217437744
Brew Kettle Taproom & Smokehouse BOP,1.0,239,41.34700012207031,-81.82260131835938
Brew Makers,1.0,240,37.38610076904297,-122.08399963378906
BrewDog Ltd,12.0,241,57.68299865722656,-2.003000020980835
Brewer's Art,3.0,242,39.30279922485352,-76.61640167236328
Brewery at Martha's Vineyard,1.0,243,41.45479965209961,-70.56500244140625
Brewery Belle-Vue,1.0,244,50.852699279785156,4.331099987030028
Brewery Budweiser Budvar,1.0,245,48.973899841308594,14.475000381469727
Brewery Corsendonk,4.0,246,51.31439971923828,4.988999843597412
Brewery Creek Brewing,6.0,247,42.860599517822266,-90.1772003173828
Brewery De Troch,6.0,248,50.85300064086914,4.164899826049806
Brewery Ommegang,5.0,249,42.681800842285156,-74.92549896240234
Brewmasters Restaurant and Brewery South,7.0,250,42.58470153808594,-87.82119750976562
Brewpub-on-the-Green,1.0,251,37.548301696777344,-121.98899841308594
Breznak,1.0,252,,
Brick Brewing,2.0,253,,
Bricktown Brewery,5.0,254,42.496498107910156,-90.66519927978516
BridgePort Brewing,13.0,255,45.53110122680664,-122.68499755859376
Brimstone Brewing,2.0,256,39.36280059814453,-77.42649841308594
Bristol Brewing,1.0,257,38.80970001220703,-104.82599639892578
Broad Ripple Brewing,7.0,258,39.87350082397461,-86.1427001953125
Brooklyn Brewery,11.0,259,40.72150039672852,-73.9574966430664
Broughton Ales,4.0,260,55.61449813842773,-3.4107000827789307
Brouwerij 't IJ,1.0,261,52.366600036621094,4.926300048828125
Brouwerij Abdij der Trappisten van Westmalle,2.0,262,51.297401428222656,4.68809986114502
Brouwerij Abdij Saint Sixtus,3.0,263,50.89609909057617,2.7221999168396
Brouwerij Alken-Maes,1.0,264,50.44309997558594,4.4147000312805185
Brouwerij Artois,1.0,265,50.88529968261719,4.700799942016602
Brouwerij Bavik - De Brabandere,8.0,266,50.86280059814453,3.2992000579833984
Brouwerij Bockor,1.0,267,50.77669906616211,3.2785000801086426
Brouwerij Boon,5.0,268,50.71229934692383,4.2196998596191415
Brouwerij Bosteels,3.0,269,51.01380157470703,4.2017998695373535
Brouwerij De Achelse Kluis,3.0,270,51.29859924316406,5.48960018157959
Brouwerij De Block,2.0,271,50.98500061035156,4.222599983215332
Brouwerij De Dolle Brouwers,6.0,272,51.028099060058594,2.9038000106811523
